sedft,sedfv,Sepkoskit,Sepkoskiv,Rhodet,Rhodev
-244.0,1.3106717202290836,-245.35304990757857,587.2737802000173,-244.0,485.00000000000006
-245.0,1.3069280714693918,-246.35859519408504,575.8242312283813,-245.0,482.0000000000001
-246.0,1.3086280174378933,-247.36414048059152,554.5305556155035,-246.0,482.0
-247.0,1.315052727357581,-248.369685767098,512.4119632760882,-247.0,482.0
-248.0,1.3252742952249674,-249.37523105360447,438.48766412484116,-248.0,392.00000000000006
-249.0,1.3383648150365681,-250.3807763401109,326.3932052464117,-249.0,392.00000000000006
-250.0,1.3533963807888962,-251.3863216266174,220.65361996130915,-250.0,300.0
-251.0,1.3694410864784667,-252.39186691312386,163.69150510519438,-251.0,627.0000000000001
-252.0,1.3855710261017924,-253.39741219963034,151.647634380444,-252.0,627.0
-253.0,1.4007741986969193,-254.4029574861368,177.33652365870495,-253.0,627.0
-254.0,1.4137022234680177,-255.40850277264326,233.57268881162216,-254.0,795.0000000000002
-255.0,1.4229226246607865,-256.41404805914976,313.17064571084853,-255.0,795.0
-256.0,1.427002926520928,-257.4195933456562,408.94491022802197,-256.0,795.0
-257.0,1.4251697824274274,-258.42513863216266,513.7099982347943,-257.0,795.0
-258.0,1.419286362292413,-259.43068391866916,620.2804256028189,-258.0,795.0
-259.0,1.411874965161298,-260.4362292051756,721.4707720454287,-259.0,795.0
-260.0,1.405457890079496,-261.4417744916821,811.6132829056102,-260.0,795.0000000000001
-261.0,1.4025574360924205,-262.44731977818856,890.4897667574535,-261.0,1263.0000000000002
-262.0,1.4056959022454838,-263.452865064695,959.1047444272243,-262.0,1263.0
-263.0,1.417395587584101,-264.4584103512015,1018.4627367411866,-263.0,1263.0
-264.0,1.4402934936229057,-265.46395563770795,1069.568264525595,-264.0,1263.0
-265.0,1.4774854317534194,-266.46950092421446,1113.4258486067154,-265.0,1263.0
-266.0,1.531189388742014,-267.4750462107209,1151.0400098108043,-266.0,1244.0000000000005
-267.0,1.5996532429775845,-268.48059149722735,1183.4152689641253,-267.0,1244.0000000000005
-268.0,1.6801323457546546,-269.48613678373385,1211.5561468929404,-268.0,1244.0000000000002
-269.0,1.769882048367749,-270.4916820702403,1236.467164423508,-269.0,1244.0000000000002
-270.0,1.8660706626302659,-271.4972273567468,1259.0155695787594,-270.0,1244.0
-271.0,1.9655183424311062,-272.50277264325325,1279.3084060850201,-271.0,1316.0000000000005
-272.0,2.0649582021780466,-273.5083179297597,1297.1910367289684,-272.0,1316.0000000000002
-273.0,2.1611233562788588,-274.5138632162662,1312.508582763417,-273.0,1316.0
