time (Ma),sedFlux (km3/yr),bioMar (Family Nb)
-316.0,2.3761141604113423,455.266955934799
-315.0,2.389435319536242,453.7882
-314.0,2.396974565889895,452.3307550557521
-313.0,2.399030724325008,450.8524753022579
-312.0,2.397067982710502,449.3005600000001
-311.0,2.392550528915301,447.66435346851773
-310.0,2.387023585838217,446.1017802635769
-309.0,2.3823565164976306,444.81291
-308.0,2.380499718941813,443.9707799590659
-307.0,2.3834035912190332,443.64029808787905
-306.0,2.393018531377563,443.85934000000003
-305.0,2.411294937465674,444.6199855841075
-304.0,2.438521011053815,445.73113182935157
-303.0,2.468336167801156,446.95588000000004
-302.0,2.492717626889045,448.0984299267265
-301.0,2.503642607498832,449.1273757058262
-300.0,2.4959800398415326,450.05241
-299.0,2.4761656982468248,450.8743724867645
-298.0,2.4535270680740586,451.5586909028994
-297.0,2.4373916346825806,452.06194
-296.0,2.434372053561603,452.36185568177103
-295.0,2.4402216607198053,452.5208184603541
-294.0,2.447978962295729,452.62237
-293.0,2.450682464427917,452.74134219355903
-292.0,2.4432680745434414,452.9177278482772
-291.0,2.428261305223495,453.18281
-290.0,2.4100850703378005,453.501501469919
-289.0,2.3931622837560775,453.57323422061137
-288.0,2.38191585934805,453.03107000000006
-287.0,2.380768710983438,451.63728970454275
-286.0,2.392674572132444,449.6710508248333
-285.0,2.4147104546671927,447.54073
-284.0,2.4424841900602843,445.5732719341325
-283.0,2.4716036097843244,443.76989359116675
-282.0,2.497676545311913,442.05038
-281.0,2.5163108281156576,440.3332999663348
-280.0,2.5231142896681567,438.5323574030926
-279.0,2.5145317104417764,436.5600400000001
-278.0,2.4903556669079236,434.4151311634917
-277.0,2.4512156845377655,432.4415971668336
-276.0,2.3977412888024716,431.06970000000007
-275.0,2.3305620051732094,430.58603649081
-274.0,2.250746919141322,430.7025428184621
-273.0,2.1611233562788588,430.98749000000004
-272.0,2.0649582021780466,431.09960731771304
-271.0,1.9655183424311067,431.0594571148737
-270.0,1.8660706626302659,430.9780600000001
-269.0,1.7698820483677493,430.9431786827825
-268.0,1.6801323457546546,430.94954427759905
-267.0,1.5996532429775845,430.96863
-266.0,1.5311893887420143,430.97717758078716
-265.0,1.4774854317534196,430.97300281176757
-264.0,1.4402934936229062,430.95919
-263.0,1.4173955875841011,430.94100840147667
-262.0,1.405695902245484,430.9324670679235
-261.0,1.4025574360924207,430.94976
-260.0,1.4054578900794963,430.99507140589924
-259.0,1.411874965161298,431.0145463239463
-258.0,1.419286362292413,430.94032000000004
-257.0,1.4251697824274274,430.6538174564085
-256.0,1.4270029265209283,429.833622821477
-255.0,1.4229226246607867,428.10761
-254.0,1.4137022234680179,425.3485413610598
-253.0,1.400774198696919,422.40873313088713
-252.0,1.3855710261017924,420.38539
-251.0,1.369441086478467,418.95007784009323
-250.0,1.3533963807888965,412.07180724756745
-249.0,1.338364815036568,392.29395
-248.0,1.3252742952249676,355.2179461674564
-247.0,1.3150527273575814,308.6775089899544
-246.0,1.3086280174378935,263.56442
-245.0,1.3069280714693923,228.89128860119249
-244.0,1.3106717202290836,206.15403568150404
-243.0,1.3197414935880663,194.96940999999998
-242.0,1.3338108461909597,194.22550313147732
-241.0,1.352553232682382,199.89577791365912
-240.0,1.375642107706955,207.22504000000004
-239.0,1.4022637529586828,212.49016442845385
